"MLE_beta1" "MLE_beta2" "MLE_gama1" "MLE_lambda1"
2.69747547266593 -3.09562775622554 -1.19716367548558 -1.73570004762246
2.71836884520805 -3.15163296539843 -1.34744657111223 -1.51517572738725
2.71785008191997 -3.13022403083265 -1.28134222251549 -1.48902319757118
2.69069465316809 -3.0946258677001 -1.36321735060429 -1.28520109947732
2.68892582851253 -3.07666412854762 -1.3475271779153 -1.36644371069886
2.67841058275439 -3.06875995729055 -1.32673499225186 -1.16323633357859
2.69718793825007 -3.09561906884403 -1.32803773907133 -1.31268400783161
2.70824777873749 -3.09859209366237 -1.19589296011391 -1.85809936402357
2.67310417193972 -3.05219734172816 -1.33424318813842 -1.12658261074284
2.67996451702128 -3.06867363041895 -1.34288696916079 -1.22219310278164
2.66486728056798 -3.04085564197092 -1.32096047778004 -1.13675990547466
2.70292307725042 -3.09185507276876 -1.35230989174758 -1.25395177551567
2.69660153365753 -3.09224164498313 -1.27889167466991 -1.54493904186622
2.68026048051168 -3.07059814090838 -1.17914156397873 -2.36363319673347
2.70686840131078 -3.08593752303231 -1.30629194215053 -1.7018374271401
2.68653169516744 -3.0532986113655 -1.32415357883407 -1.52290136809923
2.69261636850867 -3.11538236109007 -1.3142967272079 -1.49824607945957
2.71066388453373 -3.11923034250353 -1.25235309019963 -1.46306323318698
2.68291343930142 -3.07824397010715 -1.36226776779952 -1.29219957708423
2.69003113260763 -3.08177367419051 -1.32742629826196 -1.41832584430519
2.69837756521351 -3.10898861626943 -1.31533562547336 -1.41146264710985
2.66625423898393 -3.03372211763322 -1.34890136208904 -1.52939618023151
2.70755575914369 -3.10236084081432 -1.31244808173608 -1.09855868666041
2.69420312339413 -3.09659414690043 -1.30743150631615 -1.64635371386092
2.69051464837075 -3.08736480370204 -1.30347862938648 -1.59823374424912
2.69386871010627 -3.10250223383043 -1.32354804055984 -1.15092962138076
2.67823660977087 -3.03393414066571 -1.27278498767909 -1.67753696479762
2.69086172599435 -3.07385270095053 -1.27776805610179 -1.68055639941872
2.67991378285929 -3.0308944737322 -1.27132508412386 -1.58047783869111
2.70582356547544 -3.13506874123967 -1.37521406356734 -1.23415141299642
2.71837339182091 -3.14945871929629 -1.20787369608215 -1.60105889015442
2.67511826735621 -3.05137591319128 -1.30900067008773 -1.47466454210368
2.68293060886581 -3.07349730472908 -1.25297000743455 -1.28295237236536
2.70732552709517 -3.13944536699797 -1.51121101261189 -1.00415931941373
2.6966071646904 -3.09453288062166 -1.37349140408284 -1.09351253833426
2.67309283761453 -3.05741170747956 -1.32032780161971 -1.08799799371795
2.67580567364546 -3.08504718435618 -1.35996124362111 -1.2313370570918
2.70424726122451 -3.09052847574514 -1.2302013423613 -1.29834024159703
2.71420912426932 -3.15932404334758 -1.37449923336337 -1.05942492760726
2.70805024370834 -3.11598804437338 -1.27553169046301 -1.65357546461921
2.69706575191444 -3.10432064162729 -1.34654560389919 -1.07032493425593
2.67758580863046 -3.08684398219332 -1.32098254641221 -1.10486865960907
2.69428974880012 -3.05369102562865 -1.27135100453427 -1.55415809864689
2.67695622430682 -3.06697144334948 -1.3999468011821 -1.10581886492411
2.68247145389714 -3.07331347534425 -1.40700378533641 -1.1527101582774
2.69488395795099 -3.09182696580566 -1.2778605731894 -1.28315003392661
2.70064564341934 -3.11001196906271 -1.23927160627458 -1.63385095875208
2.68068191857807 -3.06525495286881 -1.32824972781141 -1.2422125576678
2.69739711726301 -3.08976978765528 -1.26730719260254 -1.50896007719056
2.66604610613465 -3.03991541390647 -1.31478652306892 -1.34023177715952
2.6934563486601 -3.07987061981652 -1.29929962754302 -1.3491156431414
2.67915621210641 -3.08181869162478 -1.30552188347871 -1.58045585032254
2.69368135662334 -3.06033278866965 -1.30797145051395 -1.48313238990518
2.70798592411719 -3.14753984171704 -1.30006242168878 -1.13739892822265
2.72190548415209 -3.17216376682496 -1.31042510025222 -1.26143437576936
