"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_gama2" "se_MLE_lambda1"
0.219284492145419 0.534245192683402 0.286484463877325 0.529731047319693 0.357264072897258
0.137141287167601 0.392752255033684 0.230908093838751 0.429218997729393 0.419109032617388
0.164680433567806 0.440026949878141 0.216524410577105 0.376948155981115 0.360019128911581
0.129800140502866 0.44656843880746 0.221297193519567 0.459134301377262 0.473515341032969
0.140187685709689 0.341859491485209 0.217569116967835 0.378737361764449 0.517869904652148
0.155215398383617 0.401602275326331 0.245793453047881 0.444573345623468 0.523059043919207
0.133761200728144 0.372862646743323 0.211191109797269 0.389410246563109 0.530744587771667
0.105382150402369 0.358580873117589 0.198690004539745 0.343509745428814 0.427373644401574
0.10744279761582 0.417563404879725 0.201167812223669 0.356288627720636 0.365331808550231
0.169085182716141 0.545190008307889 0.227521659267295 0.434816456750536 0.400890354194766
0.135279522140502 0.358427910522247 0.218652210875357 0.389345518583309 0.47222234762566
0.130932708311047 0.322420677065807 0.206782965640599 0.337706054948474 0.631065196293019
0.159272537828792 0.481116062384579 0.21801031355707 0.417271518645147 0.47664942136245
0.147352518658338 0.429668125618621 0.218843259554164 0.404764820116394 0.472057451634526
0.161070734452319 0.342540237288516 0.222307899075584 0.39119035107897 0.52370556649843
0.124844537182789 0.317222256612117 0.231482459994433 0.408325072002187 0.600370219130102
0.147073227152009 0.341573796407901 0.209602511515451 0.362174334363333 0.495247818687963
0.126802243639199 0.352785161358221 0.209415363734018 0.368269756182714 0.540664587584596
0.163654419966696 0.347473870006144 0.217765001529092 0.397853369686254 0.5413675281448
0.154212364954296 0.461183028257531 0.214040706942509 0.389495643135572 0.363293441311885
0.105221648168379 0.30608848920377 0.255883857601981 0.477155869750558 0.763822937646576
0.155110367840995 0.444406941500825 0.21553468933365 0.388001429449466 0.456687046558609
0.122260040016767 0.403352074001536 0.238207791170492 0.443112558519602 0.493608427987372
0.155646841780067 0.363045273313858 0.239962147406655 0.449763950501228 0.461374591452266
0.136107349267529 0.437210316666485 0.221591826298513 0.418363053888606 0.414503162934858
0.148319852464731 0.380740325725588 0.209532812892252 0.391585227753903 0.453481677277939
0.138575299886762 0.450715071886049 0.224354326711652 0.411073461290373 0.465934326737432
0.143556747280014 0.539483605896734 0.250929487185556 0.494885364053727 0.397410110567338
0.130455562270161 0.438862119095305 0.225628752581677 0.403627160184494 0.465243822260337
0.145505183586555 0.514362371629403 0.220263961127516 0.399013953345949 0.418995127058475
0.185131592949162 0.465597548777334 0.206759699630783 0.379351027786605 0.385545665945281
0.135804368475879 0.359428398830978 0.191047904812091 0.314184857485373 0.474634012099188
0.123791724394382 0.437839486413233 0.213331489932302 0.392155044102728 0.465368504953528
0.216217200737725 0.467101071420802 0.242401462783699 0.468150686981751 0.457314335069149
0.129132627776852 0.450934362560051 0.226845725038844 0.40353559634385 0.405117755746144
0.134176779323132 0.355690901052781 0.210521458259712 0.38589129285287 0.552389106238542
0.118492116084673 0.469940615572351 0.23125890040986 0.41857910061504 0.420070757716901
0.184465631122609 0.489838903345312 0.221892010947827 0.422083800425793 0.416409226597205
0.163056305826618 0.342421971604834 0.248403108581633 0.455960591487951 0.609186315358495
0.166406827804761 0.405132633433792 0.186669500155177 0.344097697365138 0.391182790677252
0.135052818207522 0.484564067243742 0.239786445743779 0.457459000044548 0.361463332880216
0.200808301964016 0.395130440985241 0.285839989063767 0.522479245245518 0.504461124109925
0.136842974418191 0.332335935208437 0.215290446246884 0.371959073534013 0.641277861208865
0.147352791761069 0.448306772382152 0.247309379979877 0.427271335903055 0.455893841240256
0.142818410229311 0.409836591444492 0.236523139651984 0.41564087931811 0.425108669081479
0.165516376574233 0.424903512900267 0.20666540823226 0.376703804102874 0.446881028420678
0.129028277639424 0.357231646652823 0.210620881241668 0.357948587705514 0.517069794466706
0.113534054225895 0.353673834880933 0.228134955680933 0.439159786533841 0.624922569383249
0.147551773877557 0.465866813854281 0.21370302344043 0.389677674223844 0.464099747636122
0.155008735310861 0.418066019076161 0.194128040766289 0.344399107588738 0.356971868765102
0.162068168112336 0.509622246729384 0.248258735825593 0.468299010461423 0.432961487993196
0.127075812003625 0.295964107603235 0.211156858065823 0.389580248032758 0.664536837844357
0.196876894531677 0.420655638595761 0.248038275988171 0.440013735119652 0.408490980950505
0.132426234011139 0.381457619009835 0.222407286797075 0.389890592101013 0.478726668235511
0.168282385346422 0.426714766135199 0.224106947727167 0.385951540107414 0.380956642457795
0.0903224613366809 0.279302468550589 0.22256941081363 0.39905801804909 0.712363784026402
0.154376056604009 0.318655309829457 0.216913992277972 0.390337297464313 0.660849400217066
0.166052549155077 0.412177984684399 0.235478687675751 0.416526601489443 0.409237167056792
0.154585828744639 0.42563071949948 0.211389753905767 0.405155161413633 0.47721183103873
0.183793923925166 0.491914213295416 0.222835055606696 0.369353183665723 0.418202296487323
0.15546353129557 0.378045925404241 0.235219135368545 0.419974641984314 0.499298305266219
0.140461807609307 0.380834815591393 0.19505107085849 0.345382702811817 0.418044010796806
0.143608809941813 0.447935516204225 0.203489396725364 0.392669931065884 0.412496852942214
0.130937289469789 0.340108979021837 0.237045607902579 0.420601479610413 0.508660589896151
0.133083253036025 0.426742828820637 0.203960721736844 0.359271850342858 0.390146033890538
0.191983273153397 0.473088628034192 0.207233673691527 0.363010026789522 0.416954850022469
0.133757229138101 0.478480167546154 0.237444389871569 0.44582353352956 0.404766190531353
0.143946160053555 0.372837204513046 0.216041511649102 0.376213709584323 0.49498099562336
0.167201893528268 0.356358242794509 0.213250683920167 0.391892330859213 0.516466635624365
